url,title,description,image_urls
https://www.perm.kp.ru/daily/27369.5/4551454/,"Синоптики рассказали, каким будет начало марта в Пермском крае - KP.Ru","Погода ожидается переменчивой, со снегопадами и перепадами температур",https://s16.stc.yc.kpcdn.net/share/i/12/12374181/wr-960.webp
https://www.perm.kp.ru/daily/27370/4552380/,"В Прикамье поддерживают жителей села, которые объединяются в сельхозкооперативы - KP.Ru",Они могут заключить соцконтракты на открытие нового дела,https://s16.stc.yc.kpcdn.net/share/i/12/12377654/wr-960.webp
https://www.perm.kp.ru/daily/27368/4550260/,В ЖК «МотовилихинSKY» со значительным опережением срока введен в эксплуатацию новый дом - KP.Ru,Сейчас дом готовится к заселению,"https://s10.stc.yc.kpcdn.net/share/i/12/12370377/wr-960.webp,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif"
https://www.perm.kp.ru/daily/27369.5/4551165/,В новом здании Пермской галереи будет своя «золотая кладовая» - KP.Ru,"Юлия Тавризян рассказала, что увидят пермяки после переезда галереи на Завод Шпагина","https://s09.stc.yc.kpcdn.net/share/i/12/12373272/wr-960.webp,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif"
https://www.perm.kp.ru/daily/27369.5/4551803/,Пермские магазины электроники не успевают переписывать ценники - KP.Ru,Цены на технику меняются по несколько раз в день,"https://s14.stc.yc.kpcdn.net/share/i/12/12375434/wr-960.webp,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif"
https://www.perm.kp.ru/daily/27369/4552214/,Дмитрий Махонин: Жители Прикамья не должны ощущать на себе последствий санкций - KP.Ru,Губернатор Пермского края потребовал проверять законность и обоснованность повышения цен,https://s12.stc.yc.kpcdn.net/share/i/12/12377040/wr-960.webp
https://www.kp.ru/daily/euromaidan/,Новости Украины: главные события дня - KP.Ru,"Последние новости Украины, российско-украинские отношения, что происходит в Донбассе, ДНР,ЛНР главные события дня",
https://www.perm.kp.ru/daily/27369/4552027/,Качество обслуживания клиентов – в приоритете - KP.Ru,Центр обслуживания клиентов компании «Россети Урал» в Перми отметил 10-летие,"https://s14.stc.yc.kpcdn.net/share/i/12/12376366/wr-960.webp,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif"
https://www.perm.kp.ru/daily/27369.5/4550943/,"Масленица в Перми 2022: программа мероприятий, площадки - KP.Ru",«КП» узнала программу мероприятий и площадки на Масленицу в Перми с 28 февраля по 6 марта 2022,"https://s09.stc.yc.kpcdn.net/share/i/12/12372530/wr-960.webp,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif"
https://www.perm.kp.ru/daily/27369/4552225/,Власти Пермского края продлили коронавирусные ограничения - KP.Ru,Исключено из правил лишь обязательное ношение перчаток,https://s16.stc.yc.kpcdn.net/share/i/12/12377133/wr-960.webp
https://www.perm.kp.ru/daily/27370/4552625/,"Пермяк, ехавший со своей любовницей, устроил аварию и угробил четырех человек: 9 детей остались без матерей - KP.Ru","Погибшим женщинам было всего 35 лет и 33 года. У одной из них остались пятеро детей, у второй - четверо","https://s09.stc.yc.kpcdn.net/share/i/12/12378579/wr-960.webp,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif,//s09.stc.yc.kpcdn.net/share/i/beige/325472601571f31e1bf00674c368d335.gif"
